,0,1,2,3,4,5,6
23,Trinidad and Tobago,5,3,0,0,Imported cases only,0
24,Guyana,4,0,1,0,Local transmission,1
25,Saint Lucia,2,0,0,0,Imported cases only,1
26,Antigua and Barbuda,1,0,0,0,Imported cases only,3
27,Bahamas,1,1,0,0,Local transmission,0
28,Guatemala,1,0,1,0,Imported cases only,2
29,"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,4
30,Suriname,1,0,0,0,Imported cases only,1
31,Territories**,,,,,,
32,Guadeloupe,18,12,0,0,Imported cases only,0
33,Martinique,16,1,0,0,Imported cases only,0
34,French Guiana,7,0,0,0,Imported cases only,3
35,Curaçao,3,1,0,0,Imported cases only,0
36,Puerto Rico,3,0,0,0,Imported cases only,3
37,Saint Barthelemy,3,0,0,0,Under investigation,1
38,Aruba,2,2,0,0,Imported cases only,0
39,Saint Martin,2,0,0,0,Under investigation,14
40,"United States Virgin 
Islands",2,2,0,0,Imported cases only,0
41,Cayman Islands,1,0,1,0,Imported cases only,3
42,African Region,,,,,,
43,South Africa,62,11,0,0,Local transmission,0
44,Algeria,60,11,4,1,Local transmission,0
45,Senegal,27,1,0,0,Local transmission,0
46,Burkina Faso,15,0,0,0,Imported cases only,1
47,Rwanda,7,2,0,0,Local transmission,0
,0,1,2,3,4,5,6
0,Cote d’Ivoire,6,3,0,0,Imported cases only,0
1,Ghana,6,0,0,0,Imported cases only,1
2,Cameroon,5,2,0,0,Local transmission,0
3,Ethiopia,5,4,0,0,Imported cases only,0
4,Seychelles,4,2,0,0,Imported cases only,0
5,"Democratic Republic 
of the Congo",3,1,0,0,Imported cases only,0
6,Kenya,3,2,0,0,Local transmission,0
7,Namibia,2,0,0,0,Imported cases only,2
8,Nigeria,2,0,0,0,Imported cases only,8
9,Benin,1,1,0,0,Imported cases only,0
10,"Central African 
Republic",1,0,0,0,Imported cases only,2
11,Congo,1,0,0,0,Imported cases only,2
12,Equatorial Guinea,1,0,0,0,Imported cases only,2
13,Eswatini,1,0,0,0,Imported cases only,2
14,Gabon,1,0,0,0,Imported cases only,3
15,Guinea,1,0,0,0,Imported cases only,3
16,Liberia,1,1,0,0,Imported cases only,0
17,Mauritania,1,0,0,0,Imported cases only,2
18,Togo,1,0,0,0,Imported cases only,10
19,"United Republic of 
Tanzania",1,1,0,0,Imported cases only,0
20,Territories**,,,,,,
21,Réunion,9,0,0,0,Imported cases only,1
22,Mayotte,1,0,0,0,Imported cases only,2
23,"Subtotal for all 
regions",178399,11525,7419,475,,
24,"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,1
25,Grand total,179111,11525,7426,475,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
,0
0,"W
  *
STRATEGIC OBJECTIVES 
HO’s strategic objectives for this response are to: 
 
• 
Interrupt human-to-human transmission including reducing secondary infections among close contacts 
and health care workers, preventing transmission amplification events, and preventing further 
international spread*;  
• 
Identify, isolate and care for patients early, including providing optimized care for infected patients; 
• 
Identify and reduce transmission from the animal source; 
• 
Address crucial unknowns regarding clinical severity, extent of transmission and infection, treatment 
options, and accelerate the development of diagnostics, therapeutics and vaccines; 
• 
Communicate critical risk and event information to all communities and counter misinformation; 
• 
Minimize social and economic impact through multisectoral partnerships. 
This can be achieved through a combination of public health measures, such as rapid identification, diagnosis 
and management of the cases, identification and follow up of the contacts, infection prevention and control in 
health care settings, implementation of health measures for travelers, awareness-raising in the population and 
risk communication."
